,mean,std
Activity_acc,0.665976345539093,0.0307290628420435
org:resource_acc,0.16867469251155853,0.023417479172497726
impact_acc,1.0,0.0
concept:name_acc,0.8455621540546417,0.01601160277556685
lifecycle:transition_acc,0.6928994238376618,0.014614310134858243
org:group_acc,0.9390532612800598,0.011768385523129397
org:role_acc,0.7632124185562134,0.028905334334060884
organization country_acc,0.976627242565155,0.004287387433589966
organization involved_acc,0.398516321182251,0.03956602318086072
product_acc,0.4352071076631546,0.057376618132831764
resource country_acc,0.8644970536231995,0.01343541712758044
time:timestamp_mae,0.020678561087697743,0.0077193792211478676
AVG_total_loss,18.800582575940645,0.9809239040067004
MAE_time:timestamp,0.01793842576444149,0.006991235560766266
