,mean,std
Activity_acc,0.6214099287986755,0.04001588293601163
org:resource_acc,0.11510989218950271,0.023074380588316963
impact_acc,0.9446475327014923,0.02162885930777976
concept:name_acc,0.7485639750957489,0.011872803223166887
lifecycle:transition_acc,0.6498694717884064,0.015444222945286615
org:group_acc,0.8754569351673126,0.025907256243030984
org:role_acc,0.6752997756004333,0.028311345369816335
organization country_acc,0.9159269034862518,0.018576837425504155
organization involved_acc,0.317241370677948,0.01909486705362649
product_acc,0.3806788563728333,0.05539789246906508
resource country_acc,0.8148825287818908,0.03403059334481861
time:timestamp_mae,0.024210454476997257,0.010574852267809888
AVG_total_loss,20.719860854325816,0.5821914495412007
MAE_time:timestamp,0.021178662311285734,0.008117976011805932
