,mean,std
Activity_acc,0.6454148650169372,0.032827011374740006
org:resource_acc,0.15471264198422433,0.024689318860848516
impact_acc,1.0,0.0
concept:name_acc,0.7853711903095245,0.017285874390490813
lifecycle:transition_acc,0.6973799228668213,0.028638805237660964
org:group_acc,0.9497806966304779,0.010257394063397887
org:role_acc,0.7318458259105682,0.03329978010130697
organization country_acc,0.9635371446609498,0.012310409494293933
organization involved_acc,0.3856194674968719,0.022755250444283195
product_acc,0.42423581779003144,0.06397251631029131
resource country_acc,0.8375545978546143,0.012656219962716517
time:timestamp_mae,0.021793895307928322,0.007756839294953229
AVG_total_loss,18.504175541340373,0.8220658166930844
MAE_time:timestamp,0.018243083357810976,0.006392505795142273
