,trial_index,arm_name,trial_status,generation_method,(case) AMOUNT_REQ_mae,AVG_total_loss,Activity_acc,MAE_(case) AMOUNT_REQ,MAE_time:timestamp,concept:name_acc,lifecycle:transition_acc,org:resource_acc,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
72,72,12_0,COMPLETED,BoTorch,0.041755149014366486,2.4146902092090508,0.8976842164993286,0.040834154933691025,0.019313743337988853,0.8966385126113892,0.9588664770126343,0.7253661155700684,0.019186838991144328,4,0.0001,128,0.01,sum,128
68,68,12_0,COMPLETED,BoTorch,0.04058927254190723,2.42535175047634,0.8939598202705383,0.03958387300372124,0.011891264468431473,0.8961808681488037,0.9589451551437378,0.7233706712722778,0.011828793493072384,4,0.0001,128,0.01,sum,128
86,86,12_0,COMPLETED,BoTorch,0.044383387614801095,2.425684684399262,0.8898022770881653,0.0435565747320652,0.011446885764598846,0.8965675234794617,0.958787739276886,0.7249007821083069,0.011394216163644513,4,0.0001,128,0.01,sum,128
12,12,12_0,COMPLETED,BoTorch,0.040380792023198116,2.4379557120857887,0.8951094150543213,0.03946598246693611,0.023378727957606316,0.8929929733276367,0.957764744758606,0.7237728834152222,0.023226670559170177,4,0.0001,128,0.01,sum,128
91,91,12_0,COMPLETED,BoTorch,0.04730342361099512,2.438140835151872,0.890274703502655,0.04652877524495125,0.012818284332752228,0.8954864740371704,0.9563797116279602,0.7207047939300537,0.012732969081589898,4,0.0001,128,0.01,sum,128
56,56,12_0,COMPLETED,BoTorch,0.04361894488045313,2.440226988396743,0.8895109295845032,0.04260688275098801,0.016254685819149017,0.8965280652046204,0.958016574382782,0.7238517999649048,0.016132154746107685,4,0.0001,128,0.01,sum,128
71,71,12_0,COMPLETED,BoTorch,0.04504486034145054,2.441621778514779,0.8922590017318726,0.04416491091251373,0.014069845899939537,0.8913595676422119,0.9588507413864136,0.7239069938659668,0.014043071479039285,4,0.0001,128,0.01,sum,128
88,88,12_0,COMPLETED,BoTorch,0.04535747565401411,2.4449485566792557,0.886101484298706,0.04455387964844704,0.013779663480818272,0.8901917338371277,0.9568597674369812,0.7224478721618652,0.013722735701255429,4,0.0001,128,0.01,sum,128
77,77,12_0,COMPLETED,BoTorch,0.035135026731826724,2.453280842853981,0.8882431983947754,0.034232474863529205,0.010504673235118389,0.8969699144363403,0.9585989117622375,0.7184884548187256,0.01043061922910144,4,0.0001,128,0.01,sum,128
74,74,12_0,COMPLETED,BoTorch,0.049277468105253665,2.4571425468452928,0.894668459892273,0.048148609697818756,0.017928078770637512,0.8968831300735474,0.9569777846336365,0.7245064377784729,0.01782587087414797,4,0.0001,128,0.01,sum,128
59,59,12_0,COMPLETED,BoTorch,0.03968481222185695,2.458832668022985,0.8953141570091248,0.03876775875687599,0.013924607075750828,0.8940661549568176,0.9554589986801147,0.7218011021614075,0.013780147262206935,4,0.0001,128,0.01,sum,128
17,17,12_0,COMPLETED,BoTorch,0.04403247387663832,2.4622208703200794,0.8894321918487549,0.04308062046766281,0.0160062275826931,0.8911938667297363,0.9567495584487915,0.7242698073387146,0.015920568402241736,4,0.0001,128,0.01,sum,128
92,92,12_0,COMPLETED,BoTorch,0.060236090776121735,2.462628992735544,0.8891093730926514,0.059552330523729324,0.01548268273472786,0.8948236703872681,0.9578670263290405,0.7272196412086487,0.015378073626423924,4,0.0001,128,0.01,sum,128
28,28,12_0,COMPLETED,BoTorch,0.05303098044349152,2.46365861649833,0.8952117562294006,0.052093327045440674,0.013013110496103764,0.8965595960617065,0.9579614996910095,0.72016841173172,0.012932287556236809,4,0.0001,128,0.01,sum,128
65,65,12_0,COMPLETED,BoTorch,0.04369658566287999,2.463785275084518,0.8890463709831238,0.042809221893548965,0.014567172154784203,0.8973250389099121,0.9591497778892517,0.7142214775085449,0.01445624471904294,4,0.0001,128,0.01,sum,128
38,38,12_0,COMPLETED,BoTorch,0.0539673524501833,2.4646530410238694,0.8927708268165588,0.05301399156451225,0.014913871884346008,0.8930560946464539,0.9577175378799438,0.7245774269104004,0.01484820705124186,4,0.0001,128,0.01,sum,128
26,26,12_0,COMPLETED,BoTorch,0.04466015749692338,2.4658730088832597,0.8894636631011963,0.043775755912065506,0.012547938153147697,0.8923932909965515,0.958150327205658,0.7189222574234009,0.012460597148798044,4,0.0001,128,0.01,sum,128
73,73,12_0,COMPLETED,BoTorch,0.06021801020624568,2.466839976129529,0.8968889713287354,0.05920333415269852,0.01458786241710186,0.8980194330215454,0.9580952525138855,0.7262179255485535,0.014531858581868768,4,0.0001,128,0.01,sum,128
45,45,12_0,COMPLETED,BoTorch,0.0435309390745406,2.4725152851869034,0.8930385112762451,0.04267202317714691,0.014640389010310173,0.8963149785995483,0.958150327205658,0.7182754874229431,0.01457070943546816,4,0.0001,128,0.01,sum,128
21,21,12_0,COMPLETED,BoTorch,0.043094437605547674,2.4742218487018954,0.8912826180458069,0.04207870364189148,0.012202521786093712,0.8936715722084045,0.9578670263290405,0.7168400287628174,0.0121583451327045,4,0.0001,128,0.01,sum,128
61,61,12_0,COMPLETED,BoTorch,0.045862210534730004,2.4753364335781742,0.8902668356895447,0.04494871571660042,0.029583478346467018,0.893064022064209,0.9559705257415771,0.7225819230079651,0.029517288744738957,4,0.0001,128,0.01,sum,128
50,50,12_0,COMPLETED,BoTorch,0.06402483868222793,2.4791261298780882,0.893542468547821,0.06323911994695663,0.023858120664954185,0.8932297229766846,0.958630383014679,0.7247982621192932,0.023692468199336413,4,0.0001,128,0.01,sum,128
66,66,12_0,COMPLETED,BoTorch,0.05637886610279963,2.480118842524232,0.8915424346923828,0.05522168055176735,0.018740417435765266,0.8922985792160034,0.95603346824646,0.7196794152259827,0.01869580551113897,4,0.0001,128,0.01,sum,128
19,19,12_0,COMPLETED,BoTorch,0.0505697091010589,2.4841961426280657,0.8931329846382141,0.04965838044881821,0.013974225148558617,0.8936558365821838,0.9581896662712097,0.7170687317848206,0.013904516051695185,4,0.0001,128,0.01,sum,128
62,62,12_0,COMPLETED,BoTorch,0.06767821134728136,2.484829894176603,0.8870384693145752,0.06694014370441437,0.011886142194271088,0.8934980034828186,0.9546405673027039,0.7264466881752014,0.01182241429511494,4,0.0001,128,0.01,sum,128
51,51,12_0,COMPLETED,BoTorch,0.045578588559789565,2.488174094230805,0.8876526355743408,0.04460330307483673,0.012835667468607426,0.8953917622566223,0.958520233631134,0.7163194417953491,0.012774262685798904,4,0.0001,128,0.01,sum,128
98,98,12_0,COMPLETED,BoTorch,0.053747301252142894,2.489788324798195,0.8903298377990723,0.05299706384539604,0.029048195108771324,0.890886127948761,0.9582369327545166,0.7225267291069031,0.028890806602910886,4,0.0001,128,0.01,sum,128
27,27,12_0,COMPLETED,BoTorch,0.07326647125690885,2.4931497408655807,0.8909204006195068,0.07277762144804001,0.012576780281960964,0.8967095613479614,0.9567968249320984,0.7211228013038635,0.012491690673078726,4,0.0001,128,0.01,sum,128
14,14,12_0,COMPLETED,BoTorch,0.04795085671312601,2.494207713554062,0.8903534412384033,0.04682382941246033,0.012639093212783337,0.8927010297775269,0.9574578404426575,0.7111533284187317,0.012549709257425613,4,0.0001,128,0.01,sum,128
63,63,12_0,COMPLETED,BoTorch,0.05882766343725538,2.4951754644856723,0.888046383857727,0.057799506932497025,0.012304005213081837,0.893419086933136,0.9570249915122986,0.7187724113464355,0.012229308802453638,4,0.0001,128,0.01,sum,128
10,10,10_0,COMPLETED,BoTorch,0.056747440140224197,2.4952752447949305,0.8927078247070312,0.055938322097063065,0.01393214426934719,0.8948552012443542,0.9578748941421509,0.7175341248512268,0.013867793541437792,4,0.0001845830538967081,128,0.01101012114108663,sum,128
58,58,12_0,COMPLETED,BoTorch,0.04419033547628273,2.4972364031031584,0.8929991722106934,0.04339213669300079,0.02698730118572712,0.8955890536308289,0.9558681845664978,0.7222822308540344,0.02679721000197443,4,0.0001,128,0.01,sum,128
85,85,12_0,COMPLETED,BoTorch,0.05436459813013818,2.4973183902143274,0.8927314281463623,0.05351787805557251,0.014652492478489876,0.8903337717056274,0.9531689882278442,0.7205233573913574,0.014519182042878808,4,0.0001,128,0.01,sum,128
52,52,12_0,COMPLETED,BoTorch,0.07131275690151649,2.4984593736821585,0.893975555896759,0.07075808942317963,0.012361805886030197,0.8983981609344482,0.957560122013092,0.7216196656227112,0.012267525479631516,4,0.0001,128,0.01,sum,128
82,82,12_0,COMPLETED,BoTorch,0.05112188526438278,2.504543032099321,0.8918967843055725,0.049928899854421616,0.025806017220020294,0.8933717608451843,0.958630383014679,0.7134405970573425,0.025694342673692888,4,0.0001,128,0.01,sum,128
54,54,12_0,COMPLETED,BoTorch,0.07005890697530172,2.5047301445156336,0.890180230140686,0.06922093033790588,0.012819278985261917,0.8939793109893799,0.9559626579284668,0.7222349047660828,0.012753061027926149,4,0.0001,128,0.01,sum,128
33,33,12_0,COMPLETED,BoTorch,0.04108437259220383,2.5048932004358293,0.8946290612220764,0.040117014199495316,0.013755551539361477,0.8949262499809265,0.9566315412521362,0.705805778503418,0.013684109884124357,4,0.0001,128,0.01,sum,128
90,90,12_0,COMPLETED,BoTorch,0.06252152378697998,2.506133414280501,0.8876605033874512,0.061774060130119324,0.019203798845410347,0.8885267972946167,0.9572138786315918,0.723118245601654,0.019122540534844676,4,0.0001,128,0.01,sum,128
