,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_time:timestamp,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
19,19,19_0,COMPLETED,BoTorch,0.41595420976942876,0.8247125148773193,0.11860807240009308,0.11806261618384871,4,0.0006522304015721471,32,0.015133469042812245,sum,128
9,9,9_0,COMPLETED,Sobol,0.4522069126872693,0.8225711584091187,0.13699795305728912,0.13660457275681576,4,0.002248672749330768,64,0.020688945020275244,sum,128
10,10,10_0,COMPLETED,BoTorch,0.4589624937813161,0.8218098282814026,0.1492510735988617,0.14884235697277523,4,0.0001,32,0.02265221716178696,sum,128
13,13,13_0,COMPLETED,BoTorch,0.47933103507226804,0.8105321526527405,0.12413854151964188,0.12350348455799838,4,0.00020484760838350023,32,0.010244703988791678,max,128
15,15,15_0,COMPLETED,BoTorch,0.48027152107176135,0.8131334781646729,0.11585342884063721,0.11534604284975489,4,0.0007505976743101692,32,0.011515024974339464,max,128
14,14,14_0,COMPLETED,BoTorch,0.4836542391991716,0.8127052187919617,0.11898194253444672,0.11844270086010635,4,0.00040466122003533707,32,0.01146885996694861,max,128
16,16,16_0,COMPLETED,BoTorch,0.5065487027168274,0.8117058873176575,0.14290927350521088,0.14238168627528822,4,0.0012568037253030083,32,0.01183790843260066,max,128
6,6,6_0,COMPLETED,Sobol,0.5079402167160633,0.8095011115074158,0.14123862981796265,0.1406787311879255,4,0.007858287818250697,128,0.011746187649060522,max,128
5,5,5_0,COMPLETED,Sobol,0.5341131865220555,0.8200808763504028,0.17980551719665527,0.17921408568903552,4,0.0008914404220466969,64,0.03452938543005234,sum,128
12,12,12_0,COMPLETED,BoTorch,0.6091901461704302,0.8141486048698425,0.2671879529953003,0.26693597221273485,4,0.0008250252352277412,512,0.02079338641514785,sum,128
18,18,18_0,COMPLETED,BoTorch,0.6093909260580095,0.7996351718902588,0.18647903203964233,0.1858643530789068,4,0.00045328653092125277,64,0.019889845015918502,max,128
11,11,11_0,COMPLETED,BoTorch,0.6225573322025396,0.7918153405189514,0.18656378984451294,0.18568755105390386,4,0.012242510533700941,32,0.017713158017908535,max,128
1,1,1_0,COMPLETED,Sobol,0.6263518753950879,0.8013323545455933,0.21858961880207062,0.21768554476863247,4,0.00029556780288134837,512,0.01620975110911805,max,128
4,4,4_0,COMPLETED,Sobol,1.0075887817952593,0.7764295339584351,0.4492214322090149,0.447637378411778,2,0.06148169810227145,512,0.01809463317306379,max,128
17,17,17_0,COMPLETED,BoTorch,1.267591192308119,0.695408046245575,0.6225419640541077,0.6211065445411004,4,0.1,32,0.020969349384634645,sum,128
2,2,2_0,COMPLETED,Sobol,1.2858600462392225,0.6788484454154968,0.46947017312049866,0.4680166196520046,4,0.034467925599219865,32,0.04764342585781035,max,128
7,7,7_0,COMPLETED,Sobol,1.5550971607030448,0.6783091425895691,0.6202871799468994,0.6201651000370414,2,0.0002206905808383614,32,0.07092181520253302,sum,128
0,0,0_0,COMPLETED,Sobol,2.1519699268421886,0.6456499099731445,0.998627781867981,0.9982619528043069,2,0.005537727881833665,128,0.09787123410578823,sum,128
3,3,3_0,COMPLETED,Sobol,2.2731357075400274,0.527527928352356,0.9332717657089233,0.9328251986180321,2,0.0015026229482668638,256,0.0249671076946802,mean,128
8,8,8_0,COMPLETED,Sobol,2.9014064795890095,0.3018161654472351,1.023363471031189,1.0232033522452337,2,0.02717510078728349,128,0.0395913018888495,mean,128
