,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_time:timestamp,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
19,19,19_0,COMPLETED,BoTorch,0.9279857630403164,0.6873201727867126,0.015557860024273396,0.015421560933106246,4,0.0004734149406151623,256,0.01,sum,128
18,18,18_0,COMPLETED,BoTorch,0.9391092308081019,0.6885083317756653,0.01582062989473343,0.015683970733466036,4,0.0004759484831808817,256,0.01,sum,128
17,17,17_0,COMPLETED,BoTorch,0.939317528094927,0.6834394335746765,0.015506349503993988,0.015371845204652073,4,0.00048367514327362553,128,0.01,sum,128
14,14,14_0,COMPLETED,BoTorch,0.9557355372807917,0.6721243858337402,0.015458223409950733,0.015324507309572103,4,0.0008491672406267304,512,0.01,sum,128
13,13,13_0,COMPLETED,BoTorch,1.0103315282500982,0.6581385731697083,0.016056008636951447,0.01593347971407288,4,0.0001,512,0.010348585586086053,sum,128
12,12,12_0,COMPLETED,BoTorch,1.022216713633687,0.6540398597717285,0.01713326759636402,0.0170129897262164,4,0.0001,512,0.011424876961572464,sum,128
11,11,11_0,COMPLETED,BoTorch,1.0324659225964212,0.64851313829422,0.017294596880674362,0.017178803159392134,4,0.0001,512,0.011882387958873161,sum,128
10,10,10_0,COMPLETED,BoTorch,1.032645618352531,0.6579096913337708,0.015343801118433475,0.015213330937449865,4,0.0001,512,0.012290647263703717,sum,128
9,9,9_0,COMPLETED,Sobol,1.128957850437731,0.6249672770500183,0.015613307245075703,0.015480040893815258,4,0.002248672749330768,64,0.020688945020275244,sum,128
16,16,16_0,COMPLETED,BoTorch,1.1930380004973593,0.604844331741333,0.015713060274720192,0.015577049533721996,2,0.0006344786388012206,128,0.01,sum,128
6,6,6_0,COMPLETED,Sobol,1.2133901890835421,0.5940524935722351,0.01563882827758789,0.015504798812064575,4,0.007858287818250697,128,0.011746187649060522,max,128
1,1,1_0,COMPLETED,Sobol,1.2759198839975432,0.589997410774231,0.015604667365550995,0.015469209746741515,4,0.00029556780288134837,512,0.01620975110911805,max,128
5,5,5_0,COMPLETED,Sobol,1.3552070906258782,0.5379022359848022,0.016110818833112717,0.015973507318356856,4,0.0008914404220466969,64,0.03452938543005234,sum,128
4,4,4_0,COMPLETED,Sobol,1.4872027329981008,0.49740561842918396,0.02156211994588375,0.021461402071032296,2,0.06148169810227145,512,0.01809463317306379,max,128
15,15,15_0,COMPLETED,BoTorch,1.8113728107082692,0.3440416157245636,0.019041070714592934,0.018940598133672527,4,0.1,512,0.01,sum,128
7,7,7_0,COMPLETED,Sobol,1.951205284667779,0.27367663383483887,0.01609676703810692,0.015960446483565167,2,0.0002206905808383614,32,0.07092181520253302,sum,128
0,0,0_0,COMPLETED,Sobol,2.0116077073100196,0.2734586298465729,0.016650909557938576,0.016512036130559397,2,0.005537727881833665,128,0.09787123410578823,sum,128
3,3,3_0,COMPLETED,Sobol,2.3269554077881702,0.14840412139892578,0.01650804653763771,0.01636984268014125,2,0.0015026229482668638,256,0.0249671076946802,mean,128
2,2,2_0,COMPLETED,Sobol,2.329046096546914,0.14840412139892578,0.017179718241095543,0.017052779376337476,4,0.034467925599219865,32,0.04764342585781035,max,128
8,8,8_0,COMPLETED,Sobol,2.3503546433617926,0.14840412139892578,0.016558483242988586,0.016419786753202666,2,0.02717510078728349,128,0.0395913018888495,mean,128
